page,element,definition
4,8/15/25,"8/15/25 | Initial release of third amendment reports received from June 16th through July 15,"
22,74,"CP Pre-Crash Movement | The Reporting Entity’s report of the pre-crash movement of any crash partner/other vehicle or non-motorist (NM) prior to the incident. Field 74 will be blank if the Reporting Entity does not report any crash partner, other vehicle, or non- motorist. Drop-down values: • Stopped: Vehicle was stopped and not moving. • Proceeding Straight: Vehicle was moving uniformly in one direction only. • Lane / Road Departure: Vehicle left the original lane of travel. • Making Right Turn: Vehicle was turning right. Making Left Turn: Vehicle was turning left. • Making U-Turn: Vehicle was making a U- Turn. • Backing: Vehicle was backing in reverse. Passing: Vehicle was passing another vehicle. Changing Lanes: Vehicle was in the process of changing lanes within the same direction of travel. • Parking Maneuver: Vehicle was parking into a space including forward, reverse, or parallel. • Entering Traffic: Vehicle was entering onto a roadway from a non-roadway – e.g., parking lot, driveway. Crossing into Opposing Lane: Vehicle traveled into the opposing lane intentionally to maneuver around a vehicle, object, or other obstruction. • Parked: Vehicle was parked at the time of the incident. • Merging: Vehicle was merging onto a roadway from another roadway. • Traveling Wrong Way: Vehicle was traveling on the roadway in the wrong direction of the intended traffic flow. • NM Crossing Roadway: Non-motorist moving across the roadway. • NM Waiting to Cross Roadway: Non-motorist waiting to attempt to cross the roadway. • NM Moving Alongside Roadway: Non- motorist walking or cycling along the side of a roadway (not on a sidewalk) with or against the flow of traffic. • NM Moving on Sidewalk: Non-motorist walking or cycling on a sidewalk alongside a roadway with or against the flow of traffic. • NM in Roadway - Other: Non-motorist moving in the roadway with or against the flow of traffic. • Other, see Narrative. Unknown"
23,Field #,Name | Description
23,75 - 91,"CP Contact Area | The entry reflects the location of any crash contact or damage resulting from the crash on the crash partner or other vehicle. This field is a multi-select picklist. An entry of “Y” in response to any of Fields 75 – 91 reflects the Reporting Entity’s report of crash contact or damage at the specified location. Fields 75 – 91 will be blank if the Reporting Entity does not report any crash partner, other vehicle, or non-motorist. One or more of Fields 75 – 91 will be blank if the Reporting Entity does not report any contact or damage at the location described for that field. Possible selections include a combination of contact areas related to the subject crash."
23,75,"CP Contact Area - Rear Left | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the crash partner or other vehicle. A “Y” in Field 75 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 75 reflects the lack of any such report."
23,76,"CP Contact Area - Left | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the crash partner or other vehicle. A “Y” in Field 76 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 76 reflects the lack of any such report."
23,77,"CP Contact Area – Front Left | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the crash partner or other vehicle. A “Y” in Field 77 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 77 reflects the lack of any such report."
23,78,"CP Contact Area – Rear | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the crash partner or other vehicle. A “Y” in Field 78 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 78 reflects the lack of any such report."
24,Field #,Name | Description
24,79,"CP Contact Area – Top | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the crash partner or other vehicle. A “Y” in Field 79 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 79 reflects the lack of any such report."
24,80,"CP Contact Area – Front | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the crash partner or other vehicle. A “Y” in Field 80 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 80 reflects the lack of any such report."
24,81,"CP Contact Area – Rear Right | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the crash partner or other vehicle. A “Y” in Field 81 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 81 reflects the lack of any such report."
24,82,"CP Contact Area – Right | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the crash partner or other vehicle. A “Y” in Field 82 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 82 reflects the lack of any such report."
24,83,"CP Contact Area – Front Right | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the crash partner or other vehicle. A “Y” in Field 83 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 83 reflects the lack of any such report."
24,84,"CP Contact Area – Bottom | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the crash partner or other vehicle. A “Y” in Field 84 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 84 reflects the lack of any such report."
25,Field #,Name | Description
